state_census_code,state,sector,observations,employment,members,covered,p_members,p_covered,state_abbreviation,year
14,Massachusetts,Priv. Manufacturing,1918,699450.9691666669,141279.89666666673,152555.2000000001,0.2019868493080139,0.2181070744991302,MA,1985
14,Massachusetts,Priv. Manufacturing,1928,653440.1516666663,112563.19249999992,118318.97999999994,0.17226243019104,0.1810708791017532,MA,1986
14,Massachusetts,Priv. Manufacturing,1876,643461.7416666668,104664.73416666668,108926.28916666671,0.1626588255167007,0.1692816913127899,MA,1987
14,Massachusetts,Priv. Manufacturing,1773,628185.2658333333,105056.33416666673,109842.32666666668,0.1672378182411193,0.1748565733432769,MA,1988
14,Massachusetts,Priv. Manufacturing,1682,594708.2875000004,95114.1458333333,100979.64749999998,0.1599341183900833,0.1697969436645507,MA,1989
14,Massachusetts,Priv. Manufacturing,1534,551146.3316666664,88597.09249999998,91535.20749999996,0.1607505828142166,0.166081503033638,MA,1990
14,Massachusetts,Priv. Manufacturing,1374,492543.59416666726,66181.64750000002,73604.00833333335,0.1343670934438705,0.1494365334510803,MA,1991
14,Massachusetts,Priv. Manufacturing,1289,460460.3525000004,64936.376666666685,70210.82166666668,0.1410249024629593,0.1524796187877655,MA,1992
14,Massachusetts,Priv. Manufacturing,1279,471921.7258333339,64455.974999999984,68132.00916666666,0.1365819126367569,0.1443714201450348,MA,1993
14,Massachusetts,Priv. Manufacturing,1208,441527.96382500016,51634.79098333332,54074.638308333306,0.1169456839561462,0.1224716082215309,MA,1994
14,Massachusetts,Priv. Manufacturing,1181,433469.1817916672,49162.19345833335,52310.63311666667,0.1134156584739685,0.1206790134310722,MA,1995
14,Massachusetts,Priv. Manufacturing,688,495451.6874583336,50394.82381666667,56833.56553333334,0.1017149090766906,0.1147106140851974,MA,1996
14,Massachusetts,Priv. Manufacturing,687,489248.92264166696,53081.136200000015,55445.09382500001,0.1084951534867286,0.1133269593119621,MA,1997
14,Massachusetts,Priv. Manufacturing,685,493903.1308999998,69004.78891666667,73579.707325,0.1397131979465484,0.148975983262062,MA,1998
14,Massachusetts,Priv. Manufacturing,633,447618.1593083332,65127.740875,67362.6893,0.145498439669609,0.1504914164543151,MA,1999
14,Massachusetts,Priv. Manufacturing,572,415314.3245750005,36311.83581666666,39876.52118333333,0.08743217587471,0.0960152819752693,MA,2000
14,Massachusetts,Priv. Manufacturing,508,379123.3111916664,32368.192925,33093.18661666667,0.085376426577568,0.0872887149453163,MA,2001
14,Massachusetts,Priv. Manufacturing,513,378639.8987999999,33121.00500833334,35145.46669166668,0.0874736234545707,0.092820294201374,MA,2002
14,Massachusetts,Priv. Manufacturing,478,376422.40509166673,27643.807141666668,28406.12905,0.0734382644295692,0.0754634365439415,MA,2003
14,Massachusetts,Priv. Manufacturing,401,337744.42220833385,26186.6041,28139.951300000004,0.0775337889790535,0.083317294716835,MA,2004
14,Massachusetts,Priv. Manufacturing,302,279938.3860916666,24455.813191666668,25488.045133333333,0.0873614102602005,0.0910487696528434,MA,2005
14,Massachusetts,Priv. Manufacturing,264,267891.5590666668,32095.617458333327,35338.90771666666,0.1198082417249679,0.1319149732589721,MA,2006
14,Massachusetts,Priv. Manufacturing,254,270419.8856750001,20463.715633333333,20463.715633333333,0.0756738558411598,0.0756738558411598,MA,2007
14,Massachusetts,Priv. Manufacturing,252,266743.2242166664,18704.84039166667,21990.82243333333,0.070123016834259,0.0824419185519218,MA,2008
14,Massachusetts,Priv. Manufacturing,254,270163.5139000002,24161.74535,28075.944925000003,0.0894337818026542,0.1039220467209816,MA,2009
14,Massachusetts,Priv. Manufacturing,272,290191.186275,21181.639583333334,27377.80268333334,0.0729920119047164,0.0943440198898315,MA,2010
14,Massachusetts,Priv. Manufacturing,267,287946.23666666675,14124.809666666668,18104.704908333333,0.0490536354482173,0.0628752931952476,MA,2011
14,Massachusetts,Priv. Manufacturing,218,230604.4716,16674.077774999998,18619.05933333333,0.0723059624433517,0.0807402357459068,MA,2012
14,Massachusetts,Priv. Manufacturing,235,256619.57138333344,13069.291158333332,17376.987025,0.0509286597371101,0.067714974284172,MA,2013
14,Massachusetts,Priv. Manufacturing,249,261442.97602500004,13608.179891666668,13608.179891666668,0.0520502775907516,0.0520502775907516,MA,2014
14,Massachusetts,Priv. Manufacturing,312,289595.9927416667,13822.260766666666,14674.155225,0.0477294623851776,0.0506711266934871,MA,2015
14,Massachusetts,Priv. Manufacturing,362,300889.28453333327,21755.271633333334,21755.271633333334,0.0723032429814338,0.0723032429814338,MA,2016
14,Massachusetts,Priv. Manufacturing,351,291338.19749166665,18431.32575,25049.70808333333,0.063264362514019,0.085981547832489,MA,2017
14,Massachusetts,Priv. Manufacturing,338,307158.48824166664,14709.072466666668,15517.759283333333,0.0478875674307346,0.0505203679203987,MA,2018
14,Massachusetts,Priv. Manufacturing,291,281764.7251250003,12126.088841666668,12711.830000000002,0.0430362187325954,0.0451150499284267,MA,2019
14,Massachusetts,Priv. Manufacturing,279,280265.4326416665,7843.226866666667,7843.226866666667,0.0279849953949451,0.0279849953949451,MA,2020
